parameter,grid_value,cost,true_value
lom_1,0.0679,,0.097
lom_1,0.07100508324354474,,0.097
lom_1,0.07411016648708947,315.7390876488514,0.097
lom_1,0.0772152497306342,,0.097
lom_1,0.08032033297417894,,0.097
lom_1,0.08342541621772367,,0.097
lom_1,0.08653049946126842,,0.097
lom_1,0.08963558270481316,,0.097
lom_1,0.09274066594835789,,0.097
lom_1,0.09584574919190263,,0.097
lom_1,0.09895083243544736,,0.097
lom_2,0.034300000000000004,,0.049
lom_2,0.03607394797823785,,0.049
lom_2,0.03784789595647568,,0.049
lom_2,0.039621843934713526,,0.049
lom_2,0.04139579191295137,,0.049
lom_2,0.043169739891189204,,0.049
lom_2,0.04494368786942705,,0.049
lom_2,0.04671763584766489,,0.049
lom_2,0.048491583825902726,6.996462439701355,0.049
lom_2,0.05026553180414057,,0.049
lom_2,0.05203947978237841,,0.049
lom_3,0.0427,,0.061
lom_3,0.04431365389771258,,0.061
lom_3,0.04592730779542516,,0.061
lom_3,0.047540961693137734,,0.061
lom_3,0.04915461559085032,,0.061
lom_3,0.050768269488562896,,0.061
lom_3,0.052381923386275474,69.95203827878379,0.061
lom_3,0.05399557728398805,,0.061
lom_3,0.055609231181700636,,0.061
lom_3,0.05722288507941321,,0.061
lom_3,0.05883653897712579,,0.061
phio_1,0.060899999999999996,,0.087
phio_1,0.06612,,0.087
phio_1,0.07134,,0.087
phio_1,0.07655999999999999,,0.087
phio_1,0.08177999999999999,,0.087
phio_1,0.087,,0.087
phio_1,0.09222,,0.087
phio_1,0.09744,,0.087
phio_1,0.10266,,0.087
phio_1,0.10788,,0.087
phio_1,0.11309999999999999,,0.087
phio_2,0.35093948786761897,13.269746390196413,0.436
phio_2,0.37252553908085706,6.5989852600300845,0.436
phio_2,0.39411159029409515,,0.436
phio_2,0.41569764150733324,0.9979796468919373,0.436
phio_2,0.4372836927205714,,0.436
phio_2,0.45886974393380947,,0.436
phio_2,0.48045579514704756,,0.436
phio_2,0.5020418463602857,,0.436
phio_2,0.5236278975735238,,0.436
phio_2,0.5452139487867619,,0.436
phio_2,0.5668,,0.436
phio_3,0.1526,,0.218
phio_3,0.16568000000000002,,0.218
phio_3,0.17876,,0.218
phio_3,0.19184,,0.218
phio_3,0.20492,,0.218
phio_3,0.218,2.875676085567718,0.218
phio_3,0.23108,5.381068840731734,0.218
phio_3,0.24416,9.12269900063815,0.218
phio_3,0.25724,,0.218
phio_3,0.27032,,0.218
phio_3,0.2834,,0.218
Fom_1,633.5,192.98909108832393,905.0
Fom_1,687.8,111.56749302466419,905.0
Fom_1,742.1,,905.0
Fom_1,796.4,,905.0
Fom_1,850.7,,905.0
Fom_1,905.0,,905.0
Fom_1,959.3,,905.0
Fom_1,1013.5999999999999,,905.0
Fom_1,1067.9,,905.0
Fom_1,1122.2,,905.0
Fom_1,1176.5,,905.0
Fom_2,2484.3,280.67915006227304,3549.0
Fom_2,2697.2400000000002,171.95016235934523,3549.0
Fom_2,2910.1800000000003,95.84442238420314,3549.0
Fom_2,3123.12,48.76912812021508,3549.0
Fom_2,3336.06,15.284183254108708,3549.0
Fom_2,3549.0,,3549.0
Fom_2,3761.94,,3549.0
Fom_2,3974.88,,3549.0
Fom_2,4187.82,,3549.0
Fom_2,4400.76,234.27046247536452,3549.0
Fom_2,4613.7,,3549.0
Fom_3,1568.7,,2241.0
Fom_3,1703.16,,2241.0
Fom_3,1837.6200000000001,,2241.0
Fom_3,1972.08,,2241.0
Fom_3,2106.54,1.1400813428671697,2241.0
Fom_3,2241.0,2.411393508113568,2241.0
Fom_3,2375.46,,2241.0
Fom_3,2509.92,,2241.0
Fom_3,2644.38,67.14857145217879,2241.0
Fom_3,2778.84,106.62779179797658,2241.0
Fom_3,2913.3,159.7708382402968,2241.0
lst_1,0.18434622545120313,738301.0329907972,0.221
lst_1,0.18804200211991273,422622.7684833251,0.221
lst_1,0.19173777878862233,260952.2744284098,0.221
lst_1,0.19543355545733193,202977.27081190931,0.221
lst_1,0.19912933212604153,147102.41542337716,0.221
lst_1,0.20282510879475113,,0.221
lst_1,0.2065208854634607,,0.221
lst_1,0.2102166621321703,,0.221
lst_1,0.2139124388008799,,0.221
lst_1,0.2176082154695895,5.530228753221533,0.221
lst_1,0.2213039921382991,0.47437237511497254,0.221
lst_2,0.20436572387864474,266536711.80875155,0.245
lst_2,0.20846285183635588,109605768.02754803,0.245
lst_2,0.212559979794067,45531122.64911246,0.245
lst_2,0.21665710775177813,18934098.80789982,0.245
lst_2,0.22075423570948924,8252433.556005929,0.245
lst_2,0.22485136366720038,3502880.8794160546,0.245
lst_2,0.2289484916249115,,0.245
lst_2,0.23304561958262263,,0.245
lst_2,0.23714274754033376,,0.245
lst_2,0.24123987549804488,,0.245
lst_2,0.24533700345575601,1.199934871646796,0.245
lst_3,0.32,160276782.16284066,0.376
lst_3,0.3256517199294121,68141725.01014733,0.376
lst_3,0.33130343985882416,28885445.221558034,0.376
lst_3,0.33695515978823626,12664165.242235914,0.376
lst_3,0.34260687971764836,5626503.3730565775,0.376
lst_3,0.3482585996470604,2556620.353378447,0.376
lst_3,0.3539103195764725,1189937.76435898,0.376
lst_3,0.3595620395058846,614141.3160046422,0.376
lst_3,0.3652137594352967,,0.376
lst_3,0.37086547936470876,100.52076001925249,0.376
lst_3,0.37651719929412086,0.4743765905417408,0.376
