parameter,S1,S1_conf,ST,ST_conf
lom_1,-0.0009875012986871978,0.0016837444413805264,7.542218692925182e-05,3.870797446080441e-05
lom_2,0.15433851954809572,0.09781583755383617,0.3858634374674049,0.22233282634257126
lom_3,0.0991682120090722,0.06120382276740111,0.18840571375169446,0.08182294697682763
phio_1,-4.1524934844555544e-05,6.826631173695613e-05,2.2506582739508835e-07,3.6668471635517776e-07
phio_2,0.007162860656450303,0.008367372405814496,0.0036735032832324716,0.002360000835289022
phio_3,0.00010139626602335972,0.0010429840240377308,5.96399604687509e-05,2.8688748734313424e-05
Fom_1,0.0008308324457202623,0.0012451409069593566,4.233053297562951e-05,4.5670808675302525e-05
Fom_2,0.04890575351681415,0.05336700522769611,0.09945862009738943,0.08051434835487106
Fom_3,-0.002207119655292838,0.025619601094937133,0.057375868397615985,0.04964777408711391
lst_1,0.001111742093016629,0.0015225485955411727,5.879872208571251e-05,2.9121071862994116e-05
lst_2,0.20828281948363622,0.1262805648180115,0.43017994629365613,0.15591422903529248
lst_3,0.18990225337709643,0.08866976694854845,0.25532158597494164,0.10602443005843952
