parameter,unit,true,mean,bias,rel_bias_%,std,rel_std_%,ci95_low,ci95_high
lom_1,m,0.097,0.09583913156919581,-0.0011608684308041933,-1.1967715781486528,0.004287118132591431,4.419709415042713,0.09465080305030095,0.09702746008809067
lom_2,m,0.049,0.048712088418967535,-0.000287911581032467,-0.5875746551683,0.003144727400983889,6.4178110224161,0.047840414455441745,0.049583762382493325
lom_3,m,0.061,0.05788434060098344,-0.0031156593990165557,-5.107638359043534,0.003156024782717395,5.173811119208844,0.05700953516300615,0.058759146038960736
phio_1,rad,0.087,0.08617094231831139,-0.0008290576816886025,-0.952939864009888,0.05806784751161324,66.74465231219912,0.07007535617051909,0.10226652846610369
phio_2,rad,0.436,0.4157665816563537,-0.02023341834364628,-4.640692280652817,0.03145251982045367,7.213880692764603,0.40704838795657844,0.424484775356129
phio_3,rad,0.218,0.22063134889469077,0.0026313488946907715,1.2070407773810878,0.03546780605632658,16.269635805654396,0.21080017463360554,0.230462523155776
Fom_1,N,905.0,868.9591534058048,-36.04084659419516,-3.9824139883088576,74.853426663719,8.271096868919226,848.2108420949303,889.7074647166794
Fom_2,N,3549.0,3442.679885539546,-106.32011446045408,-2.995776682458554,393.1733226406911,11.078425546370557,3333.6978006721615,3551.6619704069303
Fom_3,N,2241.0,2214.1080282347857,-26.891971765214294,-1.199998740080959,221.56324780730608,9.886802668777603,2152.693829240171,2275.5222272294004
lst_1,m,0.221,0.21913107353332242,-0.0018689264666775784,-0.8456680844694925,0.0024968655609406056,1.1298034212400931,0.21843897770994034,0.2198231693567045
lst_2,m,0.245,0.2446652182495102,-0.00033478175048978764,-0.1366456124448113,0.0011883489193759871,0.4850403752555049,0.24433582473442209,0.24499461176459833
lst_3,m,0.376,0.3762191094145788,0.00021910941457881083,0.05827378047308798,0.0009721007770099437,0.258537440694134,0.375949656826422,0.3764885620027356
